belongs_to_collection,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,keywords,cast,crew,ratings
,"35,80",httpwwwuniversalstudiosentertainmentcomlockstock,100,tt0120735,en,Lock Stock and Two Smoking Barrels,A card sharp and his unwillinglyenlisted friends need to make a lot of cash quick after losing a sketchy poker match To do this they decide to pull a heist on a smalltime gang who happen to be operating out of the flat next door,4.60786,qV7QaSf7f7yC2lc985zfyOJIAINjpg,"146,491,1382,13419,21920",iso31661 GB,1998-03-05,105.0,en,Released,A Disgrace to Criminals Everywhere,Lock Stock and Two Smoking Barrels,7.5,1671.0,"502,567,1366,4262,4523,7149,9227,9897,10776,11362,11488,15394,15395,15396,18047,167542,207592,227944,227945",100,100,32.32303877366997
,"18,10752",,100010,tt0032477,en,Flight Command,A rookie flyer Ens Alan Drake joins the famous Hellcats Squadron right out of flight school in Pensacola He doesnt make a great first impression when he is forced to ditch his airplane and parachute to safety when he arrives at the base but is unable to land due to heavy fog On his first day on the job his poor shooting skills results in the Hellcats losing an air combat competition His fellow pilots accept him anyways but they think hes crossed the line when they erroneously conclude that while their CO Billy Gray is away Drake has an affair with his wife Lorna Drake is now an outcast and is prepared to resign from the Navy but his extreme heroism in saving Billy Grays life turns things around,0.769266,zrLmIoNozsKM4CkjXG1abOxOZj9jpg,8411,iso31661 US,1940-12-27,116.0,en,Released,THRILL AMERICA Here come The Flying HELL CATS,Flight Command,6.0,1.0,"3203,3588",100010,100010,25.227272727272727
,18,,100017,tt0488903,de,Verfolgt,Deals with the obsessive relationship between a confused teenager and an elder woman Elsa Seifert successfully works as probation officer but the relationship to her longtime companion is in trouble since their common daughter moved out Then she gets to know Jan a 16yearsold offender who frankly offers to submit himself sexually to her Although being shocked in the beginning Elsa gets more and more attracted by the young man,2.964103,9niCIIX0vGaiS7pPDkWYQEzUdNVjpg,84825,iso31661 DE,2006-08-06,87.0,de,Released,,Hounded,4.8,7.0,"2843,3260,155813,157799,170335,172039,176697,187056",100017,100017,31.0
,"18,28",,100032,tt0099137,en,The Great Los Angeles Earthquake,After a series of small tremors in Los Angeles Dr Clare Winslow a local seismologist pinpoints the exact location and time of when the long awaited earthquakeThe Big Onewill strike southern California With this information she must battle city officials to release this information to the general public Also she hopes that her family is out of harms way when the quake strikes Subplots show how other families and people cope with the the tremors that strike before the impending Big One,1.315925,r6mWGHDptC2pYPikO6BI3cJW6aIjpg,19237,iso31661 US,1990-11-11,180.0,en,Released,There is no safe harbor there is no escape LAs worst fear has just become a reality,The Great Los Angeles Earthquake,6.8,5.0,,100032,100032,36.0
id 96665 name Dumb and Dumber Collection posterpath fdB86tl7SKIBWZzm0CbrYjOdE1Kjpg backdroppath saUnj5K6buVafDfLfTozDH2eqdCjpg,35,,100042,tt2096672,en,Dumb and Dumber To,20 years after the dimwits set out on their first adventure they head out in search of one of their long lost children in the hope of gaining a new kidney,15.402597,Ekw3ijq9L6RiKvv5m2tPOEklHFjpg,"12,33,1156,19177",iso31661 US,2014-11-12,110.0,en,Released,The Second Parts Are More Fools,Dumb and Dumber To,5.4,1140.0,"6054,9663,167043,167541",100042,100042,33.333333333333336
,"35,18,10749",,100046,tt1769363,en,The Giant Mechanical Man,An offbeat romantic comedy about a silverpainted street performer and the soft spoken zoo worker who falls for him,3.403206,r9K2kmLrm2gIJuUPO6VamakgvDEjpg,,,2012-04-27,94.0,en,Released,,The Giant Mechanical Man,6.1,54.0,179430,100046,100046,37.69230769230769
,,,100085,tt0436845,en,El tren de la memoria,Josefinas personal journey back to Nuremberg Germany where she arrived as an immigrant from Spain being only 18 along with other 2 million Spaniards who left to Europe in order to find a future,0.039978,2ccllpQmNSJI8gTW8JKOj1zKGEjjpg,,,2005-04-27,85.0,,Released,,El tren de la memoria,6.0,1.0,187056,100085,100085,35.0
,"12,27,28,53,878",,100089,tt2130142,en,Nazis at the Center of the Earth,A group of researchers in Antarctica are abducted by a platoon of masked soldiers and dragged into a hidden continent in the center of the Earth There they discover that surviving Nazi soldiers are plotting an invasion of Earth to revive the Third Reich,2.554387,1vx1oXzuMwApZzEzUbMXhHY8uS5jpg,1311,iso31661 US,2012-04-23,90.0,en,Released,Deadbut not gone,Nazis at the Center of the Earth,3.2,38.0,"293,679,2652,12377,169443",100089,100089,36.707317073170735
,18,,100167,tt0117194,en,No Way Home,An excons future is threatened by his brothers involvement with drugs,0.565625,4arjoL5ehhUr1bf8BTWu6XCoPiojpg,38857,iso31661 GB,1996-09-01,102.0,en,Released,Blood ties can be murder,No Way Home,7.6,5.0,"3688,14964,156121,186792",100167,100167,31.666666666666668
id 108804 name Outpost Collection posterpath xiAWTgzyb1TxW8kN05qiVKNJFxbjpg backdroppath 7glOZjnZWYYcr67pvz3mSIYIBOCjpg,"28,27",httpwwwoutpostthemoviescom,100183,tt1418712,en,Outpost Black Sun,A pair of investigators team up with a Special Forces Unit to venture deep inside a war raging between the military and a massive army of Nazi Zombie Stormtroopers Their mission is to fight their way behind enemy lines locate the technology at the source of this growing threat and prevent the seemingly inevitable rise of the 4th Reich,2.438754,cuEu43u2MNTJgyNIzf9z7AK6hpEjpg,12977,iso31661 GB,2012-01-01,101.0,en,Released,War in Hell,Outpost Black Sun,4.5,32.0,"2321,2652,3023,6091,9663,10085,10834,12377,14819,18543,156174,161255,161256,185433",100183,100183,30.0
