keyword_id,keyword_name
502,ambush
567,alcohol
1366,shotgun
4262,tea
4523,joint
7149,machismo
9227,cocktail
9897,rifle
10776,marijuana
11362,cockney accent
11488,pot smoking
15394,hatchet
15395,antique
15396,cardsharp
18047,anger
167542,carjacking
207592,piano
227944,strip show
227945,high stakes
3203,pilot
3588,navy
2843,fetishism
3260,masochism
155813,submissive
157799,older woman younger man relationship
170335,whipping
172039,dominant woman
176697,collar
187056,woman director
6054,friendship
9663,sequel
167043,road movie
167541,buddy comedy
179430,aftercreditsstinger
293,female nudity
679,cyborg
2652,nazis
12377,zombie
169443,face ripped off
3688,strip club
14964,drug
156121,excon
186792,barroom brawl
2321,bunker
3023,eastern europe
6091,war
10085,betrayal
10834,super soldier
14819,violence
18543,combat
156174,occult
161255,nazi hunter
161256,third reich
185433,outpost
3094,australian
18035,family
1415,small town
2598,museum
12616,dinosaur
154802,silent film
166958,prehistoric creature
14895,cannibal
179878,sleepwalking
222850,art teacher
12392,best friend
242,new york
417,corruption
782,assassin
796,police brutality
1465,loss of family
1470,swat
2356,immigrant
2708,hitman
4613,training
9748,revenge
9826,murder
9957,loneliness
10226,neighbor
10703,tragic love
34117,cult film
207268,neonoir
233083,complex relationship
233084,complex characters
41599,sailor
612,hotel
2203,unexpected happiness
9840,romance
271,competition
818,based on novel
1310,mentor
1328,secret
1382,factory
2136,television
2903,propaganda
2964,future
4565,dystopia
5740,alliance
6186,games
8570,pres
8862,uprising
10349,survival
10410,conspiracy
11196,rebellion
11221,blood
11322,female protagonist
14601,explosion
15017,danger
156395,imax
171956,winner
223438,based on young adult novel
162300,government coverup
181635,government conspiracy
220935,nerve gas
1454,treasure
1585,snake
5572,fistfight
10787,jungle
12617,airplane crash
188989,supernatural power
191574,cobra
1009,baby
13130,teenager
213113,quintuplets
5565,biography
6165,historical figure
222,schizophrenia
1284,
1453,amnesia
1565,loss of sense of reality
1660,suppressed past
2754,trauma
2849,key
3183,bisexuality
3298,hallucination
3307,surreal
3489,job interview
4623,casting
9937,suspense
10183,independent film
10768,lesbian
12670,los angeles
11800,mockumentary
886,film making
30,indiv
509,denmark
856,paraplegic
978,broken engagement
1333,desperation
1334,wedding vows
1335,sense of guilt
3817,chance
7879,secret love
9844,car crash
11612,hospital
12996,dogme 95
14534,relationship
15160,divorce
34094,extramarital affair
158558,disabled
10196,role playing
157909,larp
478,china
1944,epilepsy
33344,bandit
12990,singing
3800,airplane
10168,aviation
191477,pilot error
376,neonazi
1499,pastor
2045,cynic
2251,lie
4637,parish
6150,faith
8201,satire
9649,god
10123,dark comedy
11001,religion
14765,church
33457,alcoholic
33673,apple
46958,good and bad
199623,religious humour
3009,farm worker
456,mother
572,sex
1523,obsession
2132,literature
2483,nudity
2486,fantasy
2983,passion
9673,love
9713,friends
10984,true
254,france
470,spy
3136,plantation
157929,rubber plantation
160800,congo
8828,marvel comic
9715,superhero
9717,based on comic
179431,duringcreditsstinger
180547,marvel cinematic universe
209714,3d
974,bank
33600,stagecoach
156120,train robbery
188283,tripping and falling
188284,gun smuggling
188285,ransom note
188286,bullet hole
188287,rich daughter
157204,girls with guns
422,vietnam veteran
444,taxi
2231,drug dealer
4225,night shift
7002,vigilante
7368,alienation
9622,misanthrope
11325,shot to death
33625,illegal prostitution
167104,loner
3485,comedian
10267,comedy
225317,lenny bruce
1674,stage
10786,colonel
10950,shootout
185461,bar shootout
227177,street shoutout
409,africa
1956,world war ii
6544,senegal
6683,autobiography
276,philadelphia
10540,bollywood
392,england
849,dc comics
10761,superhuman
155030,superhero team
163455,super powers
209949,the elite
5641,limousine
33507,multiple
34112,wig
155678,penis
156546,talking car
181016,sewer of paris
184152,traveling through a sewer
184157,multiple roles
236,suic
2438,social worker
5331,village
6783,orphanage
13014,orphan
194430,small village
2864,onenight stand
3356,quebec
4433,conversation
8631,slacker
18396,catholic
162954,elvis presley
494,father son relationship
2337,pedophilia
4590,kindergarten
5905,father
7946,deer
10103,children
10508,teacher
10873,school
14576,pedophile
33688,hunting
1261,river
5521,arkansas
10718,fugitive
158244,river boat
388,scotland
9193,whiskey
9907,community service
10131,interracial relationship
185505,film student
570,rape
1201,austria
1756,opression
1842,village life
2690,heart disease
2801,selfdefense
2802,mountain village
2850,testament
3188,heartthrob
4402,peasant
4932,farm
220,berlin
585,casino
745,nun
794,red hair
795,running
960,homeless person
1545,supermarket
1546,ambulance
1552,subway
5600,daughter
10594,money
10855,fate
393,civil war
629,sicily
1610,country estate
2471,monarchy
2692,arranged marriage
3720,power
3734,ambition
3776,officer
3997,power takeover
4052,political instability
4645,palermo
4647,bourbon
4648,naples
4649,opportunist
4812,plan
6049,praise
163048,decadence
5153,son
14514,class differences
14714,summer vacation
160296,religious differences
220314,wealth differences
176056,time traveler
1501,allegory
1541,nihilism
1664,eroticism
5918,painting
9887,surrealism
13006,torture
15216,avantgarde
18020,fantasy sequence
18034,desert
34079,death
218164,coffee bar
3030,nightmare
3398,release from prison
6149,police
8723,poacher
10250,redneck
11059,bear trap
226376,corrupt cop
195222,nunsploitation
214549,short
596,adultery
1936,blackmail
1890,camping
3303,bedroom
3501,bed
3872,broom
3888,giant sp
157337,inn
158091,giant insect
192942,insects
207928,19th century
211608,chamber pot
15061,docudrama
33782,diver
13008,train
160362,screwball
779,martial arts
3202,con man
234479,contacting spirits
798,sheriff
1930,k
33685,gold mine
155697,aristocrat
160586,western spoof
168268,saloon singer
209139,far west
531,southern usa
1157,wife husband relationship
1543,war veteran
1571,return
2122,death penalty
2125,gallows
2320,violent husband
2619,suspicion of murder
3012,court case
3437,death sentence
3441,sentence
3864,false
4127,ones
4183,wife
4549,loss of husband
5888,agriculture
131,italy
7984,bikini
13059,prostitution
197619,foreign
10777,goddess
157155,explorer
389,clock tower
830,car race
949,terrorist
951,delorean
952,lightning
953,guitar
955,plutonium
999,sports car
1436,inventor
1743,journey in the past
4379,time travel
4776,race against time
9104,partner
9789,misfit
10125,mad scientist
11860,fish out of water
18425,teenage love
40850,destiny
186189,h
187376,odd couple
187710,escapade
189449,disorder
206687,chases and races
206715,love and romance
206720,teenage life
206735,misfit partners
206736,changing the past or future
206737,getting home
206738,inventions and discoveries
791,mentally disabled
941,tradition
1879,shower
2384,modernity
3131,modern society
4480,business man
4652,bath house
5809,marriage crisis
33683,beijing
164920,opera singer
185071,impersonating a police officer
194043,police uniform stolen
190034,the shadow
2533,fighter pilot
9832,cylon
13067,body double
185009,human heart
11039,giallo
179574,race car driver
185237,eyes
916,marseille
1759,night life
2013,attempted murder
2235,drug mule
3149,gangster boss
3391,drug smuggle
4654,undercover agent
4655,hijacking of train
238010,herion
14629,experimental film
255,male nudity
2032,pop singer
3490,pop star
10809,teenage girl
18062,obsessed fan
163726,hitchhiking
170268,skipping school
173295,post office
189443,new wave
195365,synthpop
212,london england
1003,photographer
1437,burglar
1488,tennis
3026,reality
4659,municipal park
4660,darkroom
4661,pantomime
4662,illusion
4663,lovers
6025,photography
13092,corpse
15166,photo shoot
167200,fashion model
237384,mod 1960s
237386,counterculture
14720,love affair
14794,lust
193546,siblings relations
1526,home
1576,technology
41175,shopping
155290,disney short
157690,mall
158697,installation
160960,watching tv
166475,goofy
168200,delivery
209984,cinema novo
1568,undercover
1812,fbi
18525,fbi agent
181623,fake
207896,chemistry professor
5340,investigation
7281,shooting
13005,doctor
15090,police officer
161814,psycho killer
193685,malayalam
199214,mental
229234,alphabetic order
387,california
824,drag queen
1013,homophobia
1228,1970s
2393,adoption
4573,down syndrome
10198,gay relationship
10199,gay interest
18068,teenage boy
33518,district attorney
41515,gay parent
158718,lgbt
180002,lgbt rights
185927,adopted child
186618,drug addicted mother
186621,gay adoption
9833,lesbian relationship
12564,werewolf
15136,female homosexuality
163037,lgbt teen
9951,alien
33705,agent
221021,diary film
2020,revolution
18293,chef
209125,gourmet
209126,caucasus
534,mexico
1885,quickie
2669,motel
3182,seduction
4666,final exam
514,spain
1295,europe
5424,womens prison
11733,drug dealing
158750,female agent
233,japan
1321,gold
6093,assault
201864,hostile
160985,military weapons
160990,warbird
160992,insurgent
160999,army national guard
161000,shrapnel
161001,war souvenir
207883,1940s
11036,obsessive compulsive disorder
3914,kitchen
1291,central and south america
1297,predator
10333,stalking
14915,invisible
15248,commando
1740,pop culture
4434,interview
181134,tv special
155744,newspaper man
10453,con artist
214811,criminal rehabilitation
237,gay
3434,thailand
5605,volleyball
9672,based on true story
17975,transgender
158456,masked vigilante
179991,movie serial
395,gambling
1566,dream
4344,musical
10180,homosexuality
1739,holocaust
6966,film history
738,sexuality
3923,humor
5636,wall street
6974,rise and fall
10631,stockbroker
179018,stock broker
233450,protoslasher
549,prostitute
207078,magazine editor
220448,bipolar disorder
833,white house
3312,nuclear missile
3544,machete
12405,outer space
258,bomb
5967,peru
90,paris
5086,telekinesis
7403,takeover
9994,crown
10051,heist
33637,superpower
157677,superhero spoof
163074,super villain
193285,spy spoof
208992,1960s
231322,gadgets
234668,london
797,showdown
3713,chase
4505,judo
5452,stunts
8015,cop
11199,undercover cop
14735,motorcycle
33885,car
195295,motorcycle chase
394,gypsy
397,bare knuckle boxing
398,slang
900,trailer park
4931,pig
6075,sport
7155,receiving of stolen goods
33461,diamond
227892,pikey
3694,weather
4237,water
10617,disaster
188957,virus
208456,wmd
4928,bait
8608,violinist
13015,terrorism
173242,modeling
173244,waiterssxa0
12354,hong kong
1992,professor
2340,paranoia
3616,college
6078,politics
6092,army
159419,blueprint
200883,classified
13028,writer
4144,donkey
9835,sexual fantasy
15224,candle
210121,vegetables
5202,boy
6460,chile
449,yugoslavia
977,cat
1155,brother sister relationship
1158,grandfather grandson relationship
2069,bathing
2449,black market
2808,russian
4671,bad luck
5290,small person
6156,superstition
7386,gypsy music
11061,debt
13027,wedding
14751,youth
215205,danube
236316,anarchic comedy
222782,two guns belt
1794,yakuza
33998,lesbian sex
14602,breakup
378,prison
789,muslim
3799,ship
10092,mystery
