iso6391,language_name
en,English
de,Deutsch
es,Espaol
da,Dansk
fr,Franais
pl,Polski
it,Italiano
cs,esk
ru,P
zh,
he,
ar,
pt,Portugus
el,
hi,
ja,
wo,Wolof
kk,
ka,
fi,suomi
ko,
la,Latin
xx,No Language
cn,
sv,svenska
ml,
nl,Nederlands
th,
sr,Srpski
ur,
hr,Hrvatski
mi,
tl,
hu,Magyar
no,Norsk
bg,
tr,Trke
ta,
te,
eu,euskera
mn,
ga,Gaeilge
af,Afrikaans
zu,isiZulu
bn,
is,slenska
sk,Slovenina
jv,
sl,Slovenina
et,Eesti
bs,Bosanski
ku,
gn,
fa,
ro,Romn
ne,
ms,Bahasa melayu
sw,Kiswahili
vi,Ting Vit
ca,Catal
pa,
lt,Lietuvix9akai
ay,
fo,
uk,
cy,Cymraeg
ps,
so,Somali
zh,iso
qu,
lv,Latvieu
mk,
lo,
id,Bahasa indonesia
sa,
xh,
gl,Galego
gd,
am,
km,
sh,
la,Latin iso
se,
zh,i
yi,
ur,iso
nv,
sh,iso
my,
bo,
co,
