company_id,company_name
146,Handmade Films Ltd
491,Summit Entertainment
1382,PolyGram Filmed Entertainment
13419,SKA Films
21920,The Steve Tisch Company
8411,MetroGoldwynMayer MGM
84825,MMM Film Zimmermann  Co
19237,Von Zerneck Sertner Films
12,New Line Cinema
33,Universal Pictures
1156,Conundrum Entertainment
19177,Red Granite Pictures
1311,The Asylum
38857,Orenda Films
12977,Black Camel Pictures
15634,Vitagraph Company of America
1221,Gainsborough Pictures
118,Det Danske Filminstitut
806,Tlfilm Canada
thjof Film id 7048,Fr
64899,Make A Move
22123,TF1
43,Fox Searchlight Pictures
4205,Groundswell Productions
10530,Alternate Ending Studios
2612,Les Productions du Trsor
5,Columbia Pictures
9,Gaumont
1394,Black Forest Films
7777,Slot Machine
20008,CMW Films
35558,Eddie Saeta SA
39339,4L
2683,Rai Cinema
15080,Achab Film
22217,Wiseacre Films
28935,Emergency Exit Pictures
18682,Out of Towners Productions
1632,Lionsgate
5420,Color Force
6194,Warner Bros
9385,ZRF Syrena
6033,Paramount
4787,Gico Cinematografica SrL
61682,Regal Film
3213,Disney Channel
373,Asymmetrical Productions
635,Les Films Alain Sarde
636,Babbo Inc
637,The Picture Factory
5358,Canal
4595,Negativ
6191,Falcon
92606,Cestmr Kopeck
92607,Czech TV Brno
6092,LichtMueller Film Corporation
18880,Showtime Networks
12389,Les Films Pellas
76,Zentropa Entertainments
15606,Jaguar Productions
3473,William Goetz Productions
3467,Three T Productions
6453,Studio Trite
9342,Central Partnership
19126,VGTRK
76043,Revolution Sun Studios
77594,Vserossiyskaya Gosudarstvennaya Televizionnaya i Radioveshchatelnaya Kompaniya VGTRK
3915,Dean River Productions
306,Twentieth Century Fox Film Corporation
313,TS Productions
36079,France 3 FR3
1789,MM Productions
11,WingNut Films
14,Miramax Films
294,New Zealand Film Commission
2306,Fontana Productions
6,RKO Radio Pictures
874,Cina
3245,First National Pictures
6962,CNC
11547,Ancine
51399,MPM Film
53812,Taiga Filmes
65091,Programa Ibermedia
77176,CEPA Audiovisual
93204,Bonfilm
420,Marvel Studios
4780,Hesperia Films SA
8485,Ultra Film  Sicila Cinematografica
441,Columbia Pictures Corporation
46059,ItaloJudeo Productions
46060,BillPhillips
14914,HBO Documentary
62702,Whyaduck Productions
4,Paramount Pictures
75555,Enaproc
75556,Films Domireew
75557,Films Kajoor
455,Permut Presentations
10308,Dino De Laurentiis Company
3653,Eros International
429,DC Comics
2785,Warner Bros Animation
4811,Warner Premiere
798,Samuel Goldwyn Company
383,Goskino Productions
254,Pandora Filmproduktion
3096,Tyler Perry Company The
508,Regency Enterprises
644,Alcor Films
37265,Fron Film Production
13839,Metafilms
3623,Kazakhfilm Studios
71333,Mount Helix
15326,GruziaFilm
119,Danmarks Radio DR
850,Eurimages
851,MEDIA Programme of the European Union
3221,Sveriges Television SVT
7446,Svenska Filminstitutet SFI
8555,Nordisk Film  TVFond
74636,Film Vst
7493,FilmNation Entertainment
10892,Everest Entertainment
856,Wild Bunch
1926,Les Films Du Fleuve
7281,British Film Institute BFI
8147,Entertainment One
12695,Sixteen Films
15130,Urania Pictures Srl
17387,Jeonwonsa Film
94,ARTE France Cinma
1249,Les Films du Lendemain
28182,Dream Author
162,Bayerischer Rundfunk
608,Dor Film Produktionsgesellschaft GmbH
3391,sterreichischer Rundfunk ORF
235,Nordisk Film
1972,XFilme Creative Pool
7025,Westdeutscher Rundfunk WDR
641,Titanus
642,SGC
643,Socit Nouvelle Path Cinma
10932,The Criterion Collection
537,Universal TV
3535,Associated London Films
142,Silver Films
5488,Fox Film Corporation
1542,Como Film
12508,Studio Hranch Filmov Bratislava
9181,Art Theatre Guild
13246,Gendai Eigasha
1639,Les Films Jacques Leitienne
1702,Medusa Produzione
2185,National Cinematografica
4269,Nuova Dania Cinematografica
5001,Conacite Dos
9195,Touchstone Pictures
9182,Sozosha
1527,Les Productions Jacques Roitfeld
64379,Babylone Films
84240,Luso Films
84241,CiLe Films
310,Centre National de la Cinmatographie
5982,Bioskop Film
10845,Lenfilm
12784,Orient Express
12785,Roskomkino
45867,Star Film Company
7159,StarFilm
3033,Asmik Ace Entertainment
5798,Shaw Brothers
8011,Producciones ASH Films SA
12625,Canal Espana
31125,Antena 3 Televisin
38972,Daiwa Building
104,Canal Plus
1701,Dania Film
10000,Compagnia Cinematografica Champion
4799,Eurocin
56,Amblin Entertainment
20448,UDrive Productions
645,Imar Film Co Ltd
33634,China 3D Digital Entertainment
10588,Colony Pictures
Eick Productions id 3585,Dav
7534,RD TV
249,Socit Nouvelle de Cinmatographie
1818,Tritone Cinematografica
15868,Medusa Distribuzione
2508,Cinegai SpA
646,DAntoni Productions
73950,SchineMoore Productions
18758,Edison Manufacturing Company
38573,Barbara Moorse Workshop
ge Films id 650,Br
60762,Carlo Ponti Production
39987,Playboy Entertainment Group
56520,Entertainment Events
634,ABC Pictures
7445,Cinematograph AB
14185,Canadian Film Centre CFC
64572,StepFilms Inc
64574,Feature Film Project The
6844,Thelma Films
2,Walt Disney Pictures
6125,Walt Disney Animation Studios
13932,Luiz Carlos Barreto Produes Cinematogrficas
76566,Regina Filmes
93188,Condor Filmes
60,United Artists
ney id 35990,AnsarkS
6584,Gemini Films
7529,Wanda Films
11143,Madragoa Filmes
10640,Shochiku Ofuna
2320,UTV Motion Pictures
1679,Lux Film
68461,Ora Film
39061,PFM Pictures
17837,RCR Media Group
23647,La Sept Cinma
40668,Studio AdamEve
40669,Les Films du Rivage
41,Orion Pictures
651,Breathless Associates
652,Miko Productions
33314,Studio Kino
1971,Action International Pictures
882,Toho Company
22036,185 Trax
22037,7th Sense Films
1274,Clinica Estetico
1422,Killer Films
11351,HartSharp Entertainment
840,Lawrence Gordon Productions
1302,Davis Entertainment
1885,Silver Pictures
5263,Amercent Films
5264,American Entertainment Partners LP
14275,Raymond Productions
5247,Possible Films
66209,eleven55 Films
9281,Tai Entertainment
6507,MezhrabpomRus
494,AVCO Embassy Pictures
8403,Bandito Brothers
1432,Republic Pictures
4330,Horipro
6755,Nippon Television Network Corporation NTV
6999,Kodansha
859,Saga Film
2208,RTLTVi
14901,Anker Productions Inc
562,Appian Way
14654,EMJAG Productions
23243,Sikelia Productions
17102,Peter Walker Heritage Ltd
18066,Utopia
10427,Open Road Films
10808,Overnight Films
11005,AR Films
11006,Aldamisa Entertainment
13241,Demarest Films
14358,1821 Pictures
25608,Quick Draw Productions
4395,Monogram Pictures
75567,Amaru Films
a cinematografica id 73,F
12767,PAC
17619,Atlas Film
3287,Screen Gems
15980,Incorporated Television Company ITC
16710,Lord Grade
92312,Jack Wiener Production
23496,Les Films de lAnge
7954,Filmwerks
21437,Imperial Entertainment
